Location,Property_Type,Bedrooms,Bathrooms,House_Size_sqm,Lot_Size_sqm,Year_Built,Furnishing,Water_Supply,Power_Supply,Annual_Rent_NGN
Challenge,Room,1,1,27,369,2005,Unfurnished,Public,Poor,185000
Bodija,Mini Flat,1,2,50,417,1993,Fully Furnished,Well,Stable,1040000
Agbowo,Mini Flat,1,2,54,470,1996,Unfurnished,Public,Poor,561000
Ajibode,Room,1,1,24,451,2003,Unfurnished,Borehole,Stable,190000
Agbowo,Mini Flat,1,2,48,897,2001,Unfurnished,Borehole,Stable,452000
Apata,Room,1,1,23,454,2010,Semi-Furnished,Borehole,Poor,218000
Agbowo,Duplex,4,4,208,480,2023,Unfurnished,Well,Stable,1846000
Ologuneru,Room,1,1,29,840,2010,Fully Furnished,Borehole,Poor,276000
Bodija,Self Contained,1,1,37,653,1996,Unfurnished,Borehole,Moderate,376000
Ajibode,Self Contained,1,1,34,727,2010,Fully Furnished,Borehole,Moderate,450000
Ring Road,Room,1,1,29,386,1999,Unfurnished,Well,Moderate,196000
Bodija,2 Bedroom Flat,2,2,75,454,2010,Semi-Furnished,Public,Stable,1095000
Oluyole,Duplex,4,4,244,362,2005,Unfurnished,Well,Stable,2382000
Ologuneru,Room,1,1,20,694,2014,Fully Furnished,Borehole,Moderate,236000
Ajibode,Room,1,1,21,770,2002,Unfurnished,Borehole,Moderate,177000
Ajibode,Room,1,1,21,442,2016,Semi-Furnished,Public,Poor,189000
Oluyole,Self Contained,1,1,31,484,1997,Unfurnished,Borehole,Stable,380000
Agbowo,Room,1,1,18,492,2019,Unfurnished,Well,Moderate,221000
Ajibode,Self Contained,1,1,29,271,2020,Semi-Furnished,Public,Poor,268000
Ajibode,Self Contained,1,1,31,428,1996,Unfurnished,Borehole,Moderate,391000
Ajibode,Room,1,1,28,689,2019,Semi-Furnished,Well,Moderate,204000
Challenge,Room,1,1,27,392,2007,Fully Furnished,Well,Moderate,237000
Ajibode,Self Contained,1,1,31,566,2012,Unfurnished,Borehole,Moderate,267000
Bodija,Self Contained,1,1,31,314,2019,Unfurnished,Borehole,Stable,483000
Akobo,Self Contained,1,1,37,524,2019,Unfurnished,Well,Moderate,291000
Agbowo,Room,1,1,20,448,1997,Semi-Furnished,Well,Poor,272000
Ajibode,Self Contained,1,1,27,330,2001,Semi-Furnished,Well,Moderate,416000
Challenge,Mini Flat,1,2,61,692,1999,Unfurnished,Borehole,Stable,456000
Ajibode,Duplex,4,4,263,702,1996,Fully Furnished,Public,Stable,2100000
Challenge,Self Contained,1,1,34,375,2006,Fully Furnished,Borehole,Moderate,379000
Ring Road,3 Bedroom Flat,3,3,113,511,2021,Unfurnished,Public,Stable,997000
Agbowo,Self Contained,1,1,36,557,1994,Fully Furnished,Borehole,Poor,391000
Bodija,2 Bedroom Flat,2,2,90,223,2010,Unfurnished,Borehole,Stable,849000
Bodija,Mini Flat,1,2,50,298,2020,Semi-Furnished,Borehole,Moderate,866000
Agbowo,Self Contained,1,1,38,781,2004,Unfurnished,Borehole,Moderate,362000
Ring Road,Room,1,1,24,358,2002,Semi-Furnished,Borehole,Stable,235000
Ring Road,Room,1,1,27,776,1996,Unfurnished,Borehole,Stable,176000
Agbowo,Room,1,1,24,307,2013,Unfurnished,Borehole,Stable,249000
Akobo,Self Contained,1,1,32,668,1993,Semi-Furnished,Well,Moderate,482000
Apata,Mini Flat,1,2,56,493,2008,Semi-Furnished,Borehole,Moderate,419000
Ologuneru,Self Contained,1,1,33,519,2018,Unfurnished,Well,Moderate,335000
Bodija,Self Contained,1,1,28,884,2023,Fully Furnished,Borehole,Poor,701000
Bodija,2 Bedroom Flat,2,2,78,324,1997,Unfurnished,Borehole,Moderate,1223000
Agbowo,2 Bedroom Flat,2,2,89,657,1991,Unfurnished,Public,Moderate,784000
Apata,Mini Flat,1,2,50,649,1993,Unfurnished,Well,Poor,398000
Ajibode,Mini Flat,1,2,59,1153,1991,Semi-Furnished,Well,Stable,540000
Akobo,Self Contained,1,1,26,356,2019,Semi-Furnished,Borehole,Moderate,510000
Agbowo,Room,1,1,27,437,2018,Unfurnished,Borehole,Stable,200000
Agbowo,Self Contained,1,1,33,696,1993,Unfurnished,Borehole,Stable,293000
Agbowo,Room,1,1,26,513,2010,Unfurnished,Public,Poor,178000
Ologuneru,Room,1,1,27,466,1998,Unfurnished,Public,Poor,195000
Ajibode,Room,1,1,19,722,1991,Unfurnished,Borehole,Moderate,191000
Akobo,Mini Flat,1,2,45,502,2009,Unfurnished,Public,Moderate,663000
Ajibode,3 Bedroom Flat,3,3,153,389,2022,Semi-Furnished,Borehole,Poor,1464000
Ajibode,Mini Flat,1,2,50,680,1995,Fully Furnished,Well,Stable,622000
Agbowo,Mini Flat,1,2,58,617,2018,Unfurnished,Borehole,Stable,565000
Bodija,Room,1,1,20,493,2005,Semi-Furnished,Well,Stable,317000
Agbowo,Self Contained,1,1,28,485,1994,Unfurnished,Well,Poor,282000
Agbowo,Mini Flat,1,2,50,385,1998,Unfurnished,Borehole,Poor,531000
Ajibode,Self Contained,1,1,38,680,2021,Unfurnished,Well,Stable,311000
Agbowo,Room,1,1,24,485,2023,Fully Furnished,Public,Stable,312000
Ologuneru,3 Bedroom Flat,3,3,157,411,2018,Unfurnished,Well,Moderate,977000
Apata,Room,1,1,21,318,2020,Unfurnished,Borehole,Moderate,150000
Agbowo,Mini Flat,1,2,61,620,1992,Semi-Furnished,Well,Poor,625000
Akobo,Self Contained,1,1,33,458,2014,Fully Furnished,Borehole,Stable,524000
Ring Road,3 Bedroom Flat,3,3,131,200,2002,Unfurnished,Public,Poor,1044000
Ajibode,Room,1,1,22,333,2008,Unfurnished,Borehole,Moderate,218000
Mokola,Mini Flat,1,2,59,507,2005,Semi-Furnished,Well,Stable,512000
Apata,2 Bedroom Flat,2,2,92,513,2019,Unfurnished,Borehole,Moderate,445000
Ajibode,Mini Flat,1,2,54,506,1991,Unfurnished,Borehole,Poor,498000
Ajibode,Room,1,1,20,481,1990,Unfurnished,Borehole,Moderate,228000
Ologuneru,Self Contained,1,1,26,284,1992,Unfurnished,Public,Poor,242000
Bodija,Self Contained,1,1,28,392,2015,Unfurnished,Borehole,Moderate,447000
Ajibode,Self Contained,1,1,35,763,2017,Semi-Furnished,Well,Moderate,389000
Agbowo,Room,1,1,24,736,2016,Unfurnished,Public,Poor,193000
Bodija,Room,1,1,24,654,2003,Semi-Furnished,Well,Moderate,372000
Oluyole,Self Contained,1,1,28,638,2013,Unfurnished,Borehole,Poor,383000
Oluyole,3 Bedroom Flat,3,3,132,712,2023,Semi-Furnished,Borehole,Moderate,1294000
Ologuneru,Self Contained,1,1,28,348,2013,Fully Furnished,Well,Moderate,381000
Agbowo,Room,1,1,19,555,1995,Unfurnished,Borehole,Moderate,188000
Bodija,Room,1,1,28,348,2020,Semi-Furnished,Borehole,Stable,402000
Bodija,3 Bedroom Flat,3,3,126,351,2018,Unfurnished,Borehole,Moderate,1539000
Agbowo,2 Bedroom Flat,2,2,95,616,2018,Unfurnished,Borehole,Stable,761000
Ajibode,Room,1,1,21,720,2002,Fully Furnished,Public,Poor,300000
Ologuneru,2 Bedroom Flat,2,2,99,515,1997,Unfurnished,Well,Stable,660000
Mokola,Mini Flat,1,2,57,846,2004,Unfurnished,Well,Stable,444000
Bodija,Room,1,1,18,588,2022,Semi-Furnished,Well,Poor,319000
Akobo,Self Contained,1,1,35,410,2014,Unfurnished,Borehole,Moderate,445000
Agbowo,Self Contained,1,1,33,354,2005,Semi-Furnished,Borehole,Stable,326000
Bodija,Self Contained,1,1,35,733,2010,Semi-Furnished,Borehole,Stable,507000
Oluyole,Self Contained,1,1,34,573,2006,Unfurnished,Borehole,Poor,393000
Bodija,2 Bedroom Flat,2,2,83,671,2023,Unfurnished,Borehole,Moderate,881000
Ologuneru,Room,1,1,27,200,2002,Semi-Furnished,Borehole,Moderate,177000
Akobo,Room,1,1,23,594,2023,Semi-Furnished,Borehole,Moderate,286000
Agbowo,2 Bedroom Flat,2,2,76,457,2004,Unfurnished,Public,Poor,821000
Challenge,Room,1,1,29,299,2011,Semi-Furnished,Borehole,Moderate,185000
Ajibode,Room,1,1,20,538,1993,Unfurnished,Borehole,Poor,176000
Agbowo,2 Bedroom Flat,2,2,77,746,2012,Fully Furnished,Borehole,Moderate,939000
Agbowo,Self Contained,1,1,28,957,2002,Semi-Furnished,Well,Stable,416000
Agbowo,2 Bedroom Flat,2,2,98,593,1997,Unfurnished,Borehole,Moderate,707000
Challenge,Duplex,4,4,214,422,1990,Fully Furnished,Borehole,Stable,2159000
Bodija,Room,1,1,29,411,2006,Unfurnished,Borehole,Moderate,310000
Challenge,Mini Flat,1,2,63,723,2006,Unfurnished,Public,Poor,438000
Akobo,Self Contained,1,1,33,370,1997,Semi-Furnished,Well,Moderate,474000
Agbowo,Self Contained,1,1,33,662,1992,Fully Furnished,Borehole,Moderate,411000
Challenge,Self Contained,1,1,35,602,2018,Semi-Furnished,Well,Moderate,267000
Agbowo,Self Contained,1,1,27,582,2011,Unfurnished,Borehole,Moderate,268000
Agbowo,Mini Flat,1,2,48,267,1991,Unfurnished,Borehole,Poor,422000
Bodija,Room,1,1,21,485,1991,Unfurnished,Borehole,Poor,288000
Agbowo,Self Contained,1,1,31,287,2006,Unfurnished,Borehole,Poor,314000
Ajibode,Room,1,1,18,444,1998,Fully Furnished,Borehole,Moderate,334000
Akobo,Room,1,1,18,715,2022,Semi-Furnished,Borehole,Stable,293000
Bodija,Room,1,1,28,771,2018,Unfurnished,Well,Poor,270000
Bodija,3 Bedroom Flat,3,3,116,588,2018,Unfurnished,Borehole,Moderate,1660000
Ologuneru,Self Contained,1,1,30,447,1995,Semi-Furnished,Borehole,Moderate,338000
Akobo,Self Contained,1,1,29,835,1995,Unfurnished,Borehole,Poor,462000
Mokola,Room,1,1,21,444,1990,Semi-Furnished,Borehole,Poor,209000
Ajibode,Self Contained,1,1,36,345,2005,Unfurnished,Borehole,Poor,360000
Akobo,Room,1,1,26,675,2000,Unfurnished,Public,Poor,251000
Mokola,Self Contained,1,1,29,632,2011,Semi-Furnished,Borehole,Stable,299000
Akobo,Room,1,1,22,452,2023,Fully Furnished,Borehole,Stable,427000
Oluyole,Self Contained,1,1,35,568,1990,Fully Furnished,Borehole,Poor,438000
Agbowo,Room,1,1,20,629,2002,Unfurnished,Borehole,Poor,229000
Ajibode,Mini Flat,1,2,58,586,2017,Unfurnished,Public,Moderate,480000
Bodija,Room,1,1,18,632,2002,Semi-Furnished,Well,Moderate,362000
Agbowo,Room,1,1,29,458,2019,Unfurnished,Borehole,Stable,215000
Mokola,2 Bedroom Flat,2,2,94,644,1993,Semi-Furnished,Borehole,Poor,682000
Agbowo,Mini Flat,1,2,51,553,2003,Fully Furnished,Borehole,Moderate,717000
Ologuneru,Self Contained,1,1,37,465,2012,Unfurnished,Well,Moderate,246000
Apata,Mini Flat,1,2,53,505,1994,Unfurnished,Borehole,Stable,440000
Agbowo,Self Contained,1,1,39,532,2004,Semi-Furnished,Borehole,Moderate,326000
Agbowo,Room,1,1,24,289,2012,Fully Furnished,Well,Stable,228000
Ring Road,Room,1,1,24,435,1997,Unfurnished,Public,Poor,181000
Ologuneru,Self Contained,1,1,29,561,2000,Unfurnished,Borehole,Stable,278000
Bodija,2 Bedroom Flat,2,2,85,306,1996,Unfurnished,Borehole,Moderate,1033000
Agbowo,Room,1,1,18,438,2012,Semi-Furnished,Well,Stable,228000
Bodija,Room,1,1,18,979,2016,Unfurnished,Public,Stable,328000
Oluyole,2 Bedroom Flat,2,2,75,346,2020,Unfurnished,Well,Moderate,778000
Agbowo,Mini Flat,1,2,49,480,1991,Semi-Furnished,Well,Moderate,449000
Oluyole,Room,1,1,28,399,2020,Unfurnished,Borehole,Stable,266000
Ajibode,Room,1,1,24,528,1997,Unfurnished,Borehole,Stable,209000
Ajibode,2 Bedroom Flat,2,2,95,403,1990,Unfurnished,Well,Stable,809000
Agbowo,Self Contained,1,1,30,506,2014,Semi-Furnished,Borehole,Moderate,420000
Agbowo,2 Bedroom Flat,2,2,94,420,2006,Unfurnished,Well,Stable,828000
Agbowo,Self Contained,1,1,32,739,2019,Fully Furnished,Borehole,Moderate,435000
Bodija,Room,1,1,24,564,2013,Fully Furnished,Borehole,Stable,335000
Agbowo,Room,1,1,20,369,2020,Semi-Furnished,Borehole,Stable,240000
Ajibode,Self Contained,1,1,37,701,2002,Semi-Furnished,Public,Moderate,384000
Agbowo,Room,1,1,20,377,2004,Fully Furnished,Borehole,Poor,261000
Ologuneru,2 Bedroom Flat,2,2,99,268,2015,Semi-Furnished,Borehole,Moderate,800000
Agbowo,2 Bedroom Flat,2,2,76,549,2021,Fully Furnished,Borehole,Moderate,944000
Bodija,2 Bedroom Flat,2,2,85,893,2005,Unfurnished,Well,Moderate,1017000
Akobo,3 Bedroom Flat,3,3,111,221,1998,Semi-Furnished,Well,Stable,1469000
Ologuneru,Self Contained,1,1,30,310,2008,Unfurnished,Well,Moderate,276000
Agbowo,Room,1,1,19,685,1992,Unfurnished,Well,Stable,228000
Oluyole,2 Bedroom Flat,2,2,90,434,2015,Semi-Furnished,Borehole,Poor,885000
Oluyole,2 Bedroom Flat,2,2,81,660,1997,Semi-Furnished,Well,Moderate,839000
Akobo,Room,1,1,20,399,1995,Semi-Furnished,Well,Stable,294000
Ajibode,Room,1,1,27,575,1994,Unfurnished,Borehole,Stable,223000
Oluyole,2 Bedroom Flat,2,2,86,864,2010,Semi-Furnished,Well,Moderate,785000
Ajibode,Self Contained,1,1,33,334,2016,Unfurnished,Borehole,Stable,331000
Akobo,Room,1,1,25,734,1997,Unfurnished,Well,Stable,206000
Oluyole,Room,1,1,19,672,2011,Semi-Furnished,Public,Poor,231000
Ajibode,Mini Flat,1,2,51,281,2012,Unfurnished,Well,Stable,472000
Mokola,Mini Flat,1,2,48,650,2014,Unfurnished,Borehole,Poor,345000
Ajibode,Room,1,1,26,563,1996,Semi-Furnished,Borehole,Stable,234000
Mokola,Room,1,1,26,566,2003,Unfurnished,Well,Stable,223000
Bodija,Self Contained,1,1,38,610,2018,Unfurnished,Borehole,Moderate,561000
Ajibode,Self Contained,1,1,26,486,2006,Unfurnished,Well,Moderate,304000
Ajibode,Room,1,1,19,562,1995,Fully Furnished,Borehole,Poor,311000
Apata,Room,1,1,18,593,2021,Semi-Furnished,Well,Stable,165000
Ajibode,2 Bedroom Flat,2,2,82,684,2008,Unfurnished,Borehole,Stable,785000
Ajibode,Self Contained,1,1,29,275,2016,Semi-Furnished,Well,Moderate,401000
Agbowo,Room,1,1,22,782,2019,Unfurnished,Public,Poor,198000
Akobo,Mini Flat,1,2,60,342,2022,Semi-Furnished,Borehole,Stable,826000
Bodija,Self Contained,1,1,25,687,2000,Semi-Furnished,Well,Moderate,552000
Ajibode,Mini Flat,1,2,50,564,1999,Unfurnished,Well,Stable,497000
Agbowo,Mini Flat,1,2,50,319,2018,Unfurnished,Borehole,Moderate,464000
Agbowo,Room,1,1,27,645,2011,Unfurnished,Borehole,Moderate,219000
Ajibode,Self Contained,1,1,27,379,2009,Semi-Furnished,Borehole,Stable,345000
Agbowo,Room,1,1,19,742,2008,Semi-Furnished,Public,Poor,248000
Oluyole,Self Contained,1,1,32,422,2013,Unfurnished,Well,Moderate,329000
Ajibode,Room,1,1,28,280,2017,Unfurnished,Well,Poor,232000
Agbowo,2 Bedroom Flat,2,2,91,826,1991,Unfurnished,Borehole,Poor,651000
Agbowo,2 Bedroom Flat,2,2,97,582,2007,Unfurnished,Borehole,Poor,784000
Ologuneru,Self Contained,1,1,25,706,2007,Semi-Furnished,Borehole,Stable,302000
Apata,Self Contained,1,1,36,396,1991,Semi-Furnished,Borehole,Stable,316000
Challenge,3 Bedroom Flat,3,3,111,209,2012,Semi-Furnished,Borehole,Stable,934000
Agbowo,Mini Flat,1,2,53,851,2004,Semi-Furnished,Borehole,Moderate,553000
Ajibode,Self Contained,1,1,33,548,2014,Unfurnished,Borehole,Moderate,317000
Agbowo,Room,1,1,24,638,2007,Semi-Furnished,Borehole,Moderate,206000
Agbowo,Mini Flat,1,2,54,668,2010,Fully Furnished,Borehole,Moderate,785000
Bodija,Mini Flat,1,2,62,489,2021,Unfurnished,Borehole,Poor,554000
Challenge,2 Bedroom Flat,2,2,86,590,2008,Unfurnished,Public,Moderate,678000
Mokola,3 Bedroom Flat,3,3,132,836,2007,Fully Furnished,Public,Poor,1298000
Mokola,Mini Flat,1,2,48,544,2013,Semi-Furnished,Borehole,Stable,472000
Agbowo,2 Bedroom Flat,2,2,91,719,2019,Unfurnished,Well,Moderate,732000
Oluyole,Self Contained,1,1,33,200,2018,Unfurnished,Borehole,Moderate,421000
Agbowo,Mini Flat,1,2,50,752,2010,Unfurnished,Borehole,Stable,465000
Ajibode,Room,1,1,27,276,2010,Fully Furnished,Well,Poor,312000
Oluyole,2 Bedroom Flat,2,2,77,731,1991,Semi-Furnished,Well,Moderate,1257000
Ajibode,Room,1,1,23,620,1990,Unfurnished,Borehole,Poor,192000
Agbowo,Room,1,1,26,532,2011,Unfurnished,Public,Moderate,182000
Agbowo,Self Contained,1,1,36,532,2008,Semi-Furnished,Borehole,Moderate,358000
Oluyole,Self Contained,1,1,37,504,2008,Semi-Furnished,Well,Moderate,379000
Challenge,Mini Flat,1,2,46,402,1991,Fully Furnished,Public,Moderate,554000
Agbowo,Room,1,1,24,512,2018,Unfurnished,Well,Moderate,244000
Mokola,Mini Flat,1,2,63,947,2012,Unfurnished,Well,Moderate,528000
Agbowo,Self Contained,1,1,31,784,2016,Semi-Furnished,Well,Stable,411000
Bodija,Mini Flat,1,2,54,393,2012,Unfurnished,Borehole,Moderate,756000
Oluyole,3 Bedroom Flat,3,3,145,598,2017,Semi-Furnished,Borehole,Moderate,1347000
Oluyole,Room,1,1,26,567,2017,Unfurnished,Well,Moderate,257000
Ologuneru,Room,1,1,19,524,1994,Unfurnished,Borehole,Poor,148000
Agbowo,2 Bedroom Flat,2,2,90,369,2007,Unfurnished,Borehole,Poor,785000
Oluyole,Room,1,1,18,630,2019,Unfurnished,Borehole,Poor,260000
Akobo,Self Contained,1,1,27,702,2013,Unfurnished,Borehole,Moderate,342000
Ring Road,Self Contained,1,1,37,399,2005,Semi-Furnished,Well,Poor,265000
Ajibode,Room,1,1,21,901,2018,Unfurnished,Well,Moderate,231000
Challenge,Room,1,1,18,823,2019,Unfurnished,Borehole,Moderate,181000
Akobo,Room,1,1,20,648,2014,Unfurnished,Well,Stable,254000
Agbowo,2 Bedroom Flat,2,2,78,328,1990,Unfurnished,Well,Poor,775000
Bodija,Mini Flat,1,2,46,622,2020,Unfurnished,Well,Stable,792000
Agbowo,Room,1,1,26,600,2020,Unfurnished,Borehole,Stable,240000
Akobo,2 Bedroom Flat,2,2,97,642,2022,Semi-Furnished,Borehole,Poor,1157000
Ring Road,Mini Flat,1,2,50,836,2001,Unfurnished,Borehole,Stable,471000
Akobo,Room,1,1,29,518,2014,Semi-Furnished,Well,Poor,231000
Akobo,Self Contained,1,1,26,918,2012,Unfurnished,Well,Moderate,433000
Bodija,3 Bedroom Flat,3,3,125,623,2017,Unfurnished,Public,Moderate,1658000
Ajibode,Room,1,1,22,497,2022,Unfurnished,Public,Moderate,165000
Agbowo,Room,1,1,25,981,2015,Unfurnished,Borehole,Moderate,231000
Bodija,Room,1,1,19,699,2013,Semi-Furnished,Borehole,Moderate,295000
Agbowo,3 Bedroom Flat,3,3,140,468,1994,Unfurnished,Well,Moderate,1006000
Ajibode,Room,1,1,28,565,2006,Unfurnished,Borehole,Stable,199000
Bodija,2 Bedroom Flat,2,2,82,664,2004,Unfurnished,Public,Poor,926000
Agbowo,Self Contained,1,1,29,522,1991,Unfurnished,Borehole,Stable,320000
Agbowo,2 Bedroom Flat,2,2,95,574,2023,Semi-Furnished,Borehole,Poor,873000
Bodija,Self Contained,1,1,35,402,2009,Unfurnished,Well,Moderate,445000
Ajibode,Self Contained,1,1,37,246,2019,Semi-Furnished,Public,Poor,330000
Apata,Self Contained,1,1,34,569,2005,Unfurnished,Borehole,Moderate,223000
Mokola,Self Contained,1,1,39,575,1993,Unfurnished,Well,Stable,234000
Oluyole,Self Contained,1,1,28,644,2020,Unfurnished,Well,Poor,315000
Ajibode,Room,1,1,25,446,2015,Semi-Furnished,Well,Moderate,253000
Challenge,Room,1,1,22,308,2001,Semi-Furnished,Well,Moderate,187000
Challenge,Room,1,1,23,376,1991,Unfurnished,Borehole,Poor,161000
Challenge,Mini Flat,1,2,56,740,1997,Semi-Furnished,Borehole,Poor,501000
Ajibode,2 Bedroom Flat,2,2,96,430,2003,Unfurnished,Borehole,Moderate,630000
Akobo,2 Bedroom Flat,2,2,90,470,2013,Semi-Furnished,Public,Moderate,850000
Mokola,Self Contained,1,1,27,493,2014,Semi-Furnished,Borehole,Moderate,380000
Akobo,Duplex,4,4,293,438,1996,Fully Furnished,Well,Stable,3752000
Akobo,Self Contained,1,1,36,425,2021,Semi-Furnished,Borehole,Moderate,399000
Bodija,Mini Flat,1,2,52,393,2012,Unfurnished,Well,Moderate,739000
Bodija,3 Bedroom Flat,3,3,129,802,2015,Semi-Furnished,Well,Moderate,1642000
Ajibode,Mini Flat,1,2,59,672,1996,Semi-Furnished,Borehole,Stable,512000
Akobo,Room,1,1,28,774,1993,Unfurnished,Borehole,Moderate,203000
Ajibode,Mini Flat,1,2,52,810,2014,Unfurnished,Well,Poor,391000
Agbowo,Room,1,1,19,200,2007,Fully Furnished,Borehole,Moderate,272000
Agbowo,Mini Flat,1,2,53,611,1996,Semi-Furnished,Borehole,Poor,450000
Bodija,Self Contained,1,1,35,444,2011,Semi-Furnished,Borehole,Moderate,451000
Ajibode,3 Bedroom Flat,3,3,112,751,1993,Unfurnished,Public,Stable,1119000
Oluyole,Mini Flat,1,2,49,416,2018,Semi-Furnished,Well,Stable,649000
Challenge,Mini Flat,1,2,56,360,2013,Semi-Furnished,Borehole,Stable,613000
Ajibode,Room,1,1,25,291,2001,Fully Furnished,Well,Moderate,283000
Ajibode,Duplex,4,4,180,495,1998,Fully Furnished,Borehole,Stable,2527000
Ajibode,Room,1,1,24,714,2004,Fully Furnished,Borehole,Moderate,293000
Ring Road,2 Bedroom Flat,2,2,73,596,2002,Unfurnished,Borehole,Stable,742000
Bodija,2 Bedroom Flat,2,2,70,333,2019,Semi-Furnished,Borehole,Poor,1277000
Bodija,Room,1,1,23,937,2015,Unfurnished,Well,Stable,307000
Ajibode,Room,1,1,19,666,2008,Semi-Furnished,Well,Moderate,231000
Akobo,Room,1,1,27,689,2010,Semi-Furnished,Borehole,Poor,240000
Mokola,Room,1,1,18,781,2010,Unfurnished,Borehole,Moderate,170000
Mokola,Room,1,1,22,254,2002,Fully Furnished,Well,Moderate,232000
Akobo,Room,1,1,27,385,2010,Semi-Furnished,Public,Poor,292000
Ajibode,3 Bedroom Flat,3,3,125,698,2013,Semi-Furnished,Borehole,Poor,1346000
Ajibode,Room,1,1,21,404,2015,Fully Furnished,Public,Stable,224000
Ajibode,Room,1,1,20,500,2020,Unfurnished,Well,Poor,187000
Agbowo,Room,1,1,22,536,2019,Unfurnished,Borehole,Stable,183000
Ajibode,2 Bedroom Flat,2,2,85,320,2013,Semi-Furnished,Borehole,Poor,917000
Agbowo,Room,1,1,21,485,2021,Unfurnished,Borehole,Poor,194000
Agbowo,Self Contained,1,1,32,714,2019,Unfurnished,Well,Stable,304000
Apata,Self Contained,1,1,27,681,2015,Semi-Furnished,Public,Moderate,315000
Akobo,Self Contained,1,1,27,750,2007,Semi-Furnished,Borehole,Moderate,429000
Mokola,Room,1,1,27,731,2001,Unfurnished,Borehole,Stable,158000
Oluyole,2 Bedroom Flat,2,2,98,623,2010,Unfurnished,Borehole,Moderate,895000
Ajibode,Mini Flat,1,2,61,608,2012,Unfurnished,Borehole,Stable,421000
Oluyole,2 Bedroom Flat,2,2,71,595,2017,Semi-Furnished,Well,Stable,921000
Agbowo,Room,1,1,20,437,2006,Semi-Furnished,Public,Moderate,248000
Akobo,Room,1,1,22,364,2004,Unfurnished,Well,Stable,215000
Agbowo,Room,1,1,26,425,2012,Unfurnished,Borehole,Moderate,173000
Ologuneru,2 Bedroom Flat,2,2,98,491,2023,Unfurnished,Borehole,Stable,660000
Agbowo,Mini Flat,1,2,47,431,2017,Unfurnished,Well,Poor,522000
Agbowo,Room,1,1,19,624,1993,Unfurnished,Borehole,Stable,204000
Apata,Self Contained,1,1,33,586,2001,Unfurnished,Borehole,Poor,259000
Ajibode,Self Contained,1,1,29,605,1991,Semi-Furnished,Borehole,Moderate,292000
Oluyole,Room,1,1,27,613,2014,Fully Furnished,Borehole,Stable,310000
Oluyole,Mini Flat,1,2,53,765,2013,Unfurnished,Borehole,Moderate,862000
Mokola,Self Contained,1,1,30,548,2020,Unfurnished,Borehole,Poor,275000
Ologuneru,Mini Flat,1,2,57,731,1993,Semi-Furnished,Borehole,Moderate,523000
Ologuneru,Self Contained,1,1,25,642,2023,Semi-Furnished,Well,Stable,301000
Ajibode,2 Bedroom Flat,2,2,82,753,1995,Unfurnished,Well,Moderate,867000
Mokola,3 Bedroom Flat,3,3,152,840,2020,Unfurnished,Well,Stable,953000
Akobo,2 Bedroom Flat,2,2,95,653,2013,Unfurnished,Borehole,Poor,932000
Akobo,Self Contained,1,1,39,568,2014,Unfurnished,Public,Moderate,482000
Ajibode,3 Bedroom Flat,3,3,110,567,1994,Semi-Furnished,Public,Stable,1013000
Akobo,Self Contained,1,1,35,465,1999,Unfurnished,Well,Moderate,444000
Ologuneru,Mini Flat,1,2,62,459,2007,Unfurnished,Public,Stable,380000
Ring Road,Room,1,1,23,712,2018,Unfurnished,Borehole,Moderate,169000
Agbowo,2 Bedroom Flat,2,2,88,376,2000,Unfurnished,Well,Stable,848000
Ajibode,Mini Flat,1,2,59,840,2019,Semi-Furnished,Borehole,Moderate,555000
Agbowo,2 Bedroom Flat,2,2,85,522,1994,Unfurnished,Well,Stable,814000
Mokola,Room,1,1,19,1065,1995,Semi-Furnished,Well,Poor,216000
Oluyole,Room,1,1,28,425,2003,Unfurnished,Borehole,Moderate,301000
Bodija,Room,1,1,21,595,2005,Semi-Furnished,Well,Stable,315000
Ajibode,Mini Flat,1,2,55,486,2003,Unfurnished,Well,Moderate,561000
Agbowo,2 Bedroom Flat,2,2,80,407,2022,Fully Furnished,Borehole,Stable,1181000
Bodija,Mini Flat,1,2,51,741,1994,Fully Furnished,Borehole,Stable,962000
Apata,Mini Flat,1,2,63,351,2003,Fully Furnished,Well,Poor,465000
Akobo,2 Bedroom Flat,2,2,84,428,1998,Fully Furnished,Well,Poor,1478000
Agbowo,3 Bedroom Flat,3,3,153,655,2016,Unfurnished,Borehole,Poor,1110000
Bodija,Self Contained,1,1,27,684,1992,Fully Furnished,Well,Stable,593000
Ajibode,Self Contained,1,1,38,299,1999,Fully Furnished,Borehole,Moderate,466000
Ologuneru,Room,1,1,29,654,2000,Unfurnished,Well,Stable,157000
Agbowo,Self Contained,1,1,28,573,2023,Unfurnished,Public,Moderate,275000
Bodija,Self Contained,1,1,29,384,1990,Unfurnished,Well,Poor,430000
Agbowo,Room,1,1,19,408,1999,Unfurnished,Borehole,Moderate,184000
Oluyole,Room,1,1,29,200,1995,Unfurnished,Borehole,Poor,225000
Oluyole,Room,1,1,19,859,1997,Unfurnished,Borehole,Poor,284000
Oluyole,Self Contained,1,1,36,732,2020,Unfurnished,Well,Moderate,439000
Agbowo,Mini Flat,1,2,64,317,1995,Unfurnished,Borehole,Stable,501000
Agbowo,Room,1,1,29,693,2020,Semi-Furnished,Public,Stable,218000
Ajibode,2 Bedroom Flat,2,2,74,446,2023,Unfurnished,Well,Stable,704000
